MARQUES;MODELE;CO2
FIAT;SEICENTO SPORTING;155
FIAT;STILO 5P 1.2L (80ch);155
HYUNDAI;ACCENT 3P GL CLIM;155
HYUNDAI;ACCENT 5P GL CLIM/GLS;155
LANCIA;Y 1.2L 16V;155
NISSAN;MICRA 3P 1.4L N-CVT;155
NISSAN;MICRA 3P 1.4L N-CVT;155
NISSAN;MICRA 5P 1.4L N-CVT;155
NISSAN;MICRA 5P 1.4L N-CVT;155
TOYOTA;YARIS VERSO 1.3L;155
DAIHATSU;YRVX BVA;156
OPEL;AGILA 1.2L 16V;156
PEUGEOT;3063P 1.4i;156
PEUGEOT;3064P 1.4i;156
PEUGEOT;3065P 1.4i;156
PEUGEOT;306BREAK 1.4i;156
SEAT;IBIZA 3P 1000;156
SEAT;IBIZA 5P 1000;156
VOLKSWAGEN;POLO 1.4L 16S;156
FORD;KA1.3L;157
HONDA;CIVIC 3P 1.6 ES;157
HONDA;CIVIC 5P 1.6i L/S/ES;157
TOYOTA;YARIS VERSO 1.5L;157
FORD;FOCUS 4P 1.4L;158
FORD;FOCUS 5P 1.4L;158
FORD;FOCUS BREAK 1.4L;158
FORD;FOCUS BREAK 1.4L;158
FORD;FOCUS COUPE 1.4L;158
MINI;MINI ONE;158
SEAT;AROSA SPORT 1.4L 16V;158
SEAT;AROSA SPORT 1.4L 16V;158
SEAT;IBIZA 3P 1400;158
SEAT;IBIZA 3P 1400;158
VOLKSWAGEN;GOLF 1.4L;158
VOLKSWAGEN;LUPO SPORT 16V;158
CITROEN;SAXO 3P 1.6i VTS;159
CITROEN;XSARA 3P 1.4i;159
CITROEN;XSARA 5P 1.4i;159
CITROEN;XSARA BREAK 1.4i;159
PEUGEOT;3073P 1.4i;159
PEUGEOT;3075P 1.4i;159
CITROEN;XSARA 3P 1.6i;160
CITROEN;XSARA 5P 1.6i;160
CITROEN;XSARA BREAK 1.6i;160
NISSAN;ALMERA 3P 1.5L;160
NISSAN;ALMERA 3P 1.5L;160
NISSAN;ALMERA 4P 1.5L;160
NISSAN;ALMERA 4P 1.5L;160
NISSAN;ALMERA 5P 1.5L;160
NISSAN;ALMERA 5P 1.5L;160
RENAULT;CLIO 3P 1.4L 16v;160
RENAULT;CLIO 5P 1.4L 16v;160
RENAULT;CLIO 5P 1.4L 16v;160
ROVER;ROVER 25 3P 1100 CD;160
ROVER;ROVER 25 3P 1100 CG;160
ROVER;ROVER 25 5P 1100 CD;160
ROVER;ROVER 25 5P 1100 CG;160
TOYOTA;YARIS 3P 1.3L BVA;160
TOYOTA;YARIS 5P 1.3L BVA;160
CITROEN;BERLINGO 1.1i;161
DAEWOO;MATIZ;161
FIAT;PALIO WEEKEND 1.2L;161
FIAT;PALIO WEEKEND 1.2L;161
FORD;FIESTA 3P 1.25L;161
FORD;FIESTA 3P 1.25L;161
FORD;FIESTA 3P 1.25L;161
FORD;FIESTA 3P 1.3L;161
FORD;FIESTA 3P 1.3L;161
FORD;FIESTA 5P 1.25L;161
FORD;FIESTA 5P 1.25L;161
FORD;FIESTA 5P 1.25L;161
FORD;FIESTA 5P 1.3L;161
FORD;FIESTA 5P 1.3L;161
MAZDA;1213P 1.3L;161
MAZDA;1215P 1.3L;161
PEUGEOT;2063P 1.6i 16S SPORT;161
SEAT;CORDOBA 1.4L 16V (75ch);161
SEAT;CORDOBA 1400;161
SEAT;CORDOBA 1400;161
SEAT;CORDOBA 1400 16V (75ch);161
SEAT;IBIZA 3P 1400;161
SEAT;IBIZA 3P 1400;161
SEAT;IBIZA 3P 1400 16V;161
SEAT;IBIZA 3P 1400 16V (75ch);161
SEAT;IBIZA 5P 1400;161
SEAT;IBIZA 5P 1400;161
SEAT;IBIZA 5P 1400 16V;161
SEAT;IBIZA 5P 1400 16V (75ch);161
SEAT;LEON 1400 16S (75ch);161
SEAT;LEON 1400 16S (75ch);161
SKODA;FABIA 1.4L 16V (75ch);161
SKODA;FABIA COMBI 1.4L 16V (75ch) Comfort;161
VOLKSWAGEN;GOLF 1.4L;161
VOLKSWAGEN;GOLF 1.4L;161
RENAULT;SCENIC 1.6L 16v GPL;161
FIAT;BRAVO 80;162
FIAT;BRAVO 80 16V;162
FORD;FOCUS 4P 1.4L;162
FORD;FOCUS 5P 1.4L;162
FORD;FOCUS BREAK 1.4L;162
FORD;FOCUS BREAK 1.4L;162
FORD;FOCUS COUPE 1.4L;162
MITSUBISHI;SPACE STAR 1.3;162
RENAULT;MEGANE COUPE 1.6L 16v;162
SUZUKI;IGNIS 5P 1.3L GL 4X4;162
TOYOTA;COROLLA 5P 1.4L;162
FORD;FOCUS 4P 1.6L;163
FORD;FOCUS 5P 1.6L;163
FORD;FOCUS BREAK 1.6L;163
FORD;FOCUS BREAK 1.6L;163
FORD;FOCUS COUPE 1.6L;163
FORD;KA1.3L;163
MINI;MINI COOPER;163
RENAULT;KANGOO 1.2L;163
RENAULT;MEGANE COUPE 1.4L 16v;163
SEAT;CORDOBA VARIO 1400;163
SEAT;CORDOBA VARIO 1400;163
SEAT;LEON 1400 16S (75ch);163
SEAT;LEON 1400 16S (75ch);163
VOLKSWAGEN;GOLF 1.4L;163
VOLKSWAGEN;GOLF 1.4L;163
VOLKSWAGEN;GOLF BREAK 1.4L;163
VOLKSWAGEN;LUPO SPORT 16V;163
FIAT;BRAVA 80;164
MG;MGZR 3P 1400 CD;164
MG;MGZR 3P 1400 CG;164
MG;MGZR 5P 1400 CD;164
MG;MGZR 5P 1400 CG;164
ROVER;ROVER 25 3P 1400 HP CD;164
ROVER;ROVER 25 3P 1400 HP CG;164
ROVER;ROVER 25 3P 1400 LP CD;164
ROVER;ROVER 25 3P 1400 LP CG;164
ROVER;ROVER 25 5P 1400 HP CD;164
ROVER;ROVER 25 5P 1400 HP CG;164
ROVER;ROVER 25 5P 1400 LP CD;164
ROVER;ROVER 25 5P 1400 LP CG;164
TOYOTA;YARIS 3P 1.5L TS;164
VOLVO;S401.8i;164
VOLVO;V401.8i;164
DAIHATSU;MOVE X BVA;165
FORD;FOCUS 4P 1.6L;165
FORD;FOCUS 5P 1.6L;165
FORD;FOCUS BREAK 1.6L;165
FORD;FOCUS BREAK 1.6L;165
FORD;FOCUS COUPE 1.6L;165
FORD;KA1.3L;165
PEUGEOT;2063P 1.4i BVA;165
PEUGEOT;2065P 1.4i BVA;165
PEUGEOT;3063P 1.6i;165
PEUGEOT;3064P 1.6i;165
PEUGEOT;3065P 1.6i;165
PEUGEOT;306BREAK 1.6i;165
RENAULT;CLIO 3P 1.6L 16v;165
RENAULT;CLIO 5P 1.6L 16v;165
RENAULT;KANGOO 1.2L 16v;165
RENAULT;KANGOO 1.2L GPL;165
RENAULT;MEGANE BERLINE 1.4L 16v;165
RENAULT;MEGANE BERLINE 1.6L 16v;165
RENAULT;MEGANE CABRIOLET 1.4L 16v;165
RENAULT;MEGANE CABRIOLET 1.6L 16v;165
RENAULT;MEGANE CLASSIC 1.4L 16v;165
RENAULT;MEGANE CLASSIC 1.6L 16v;165
SUZUKI;LIANA 1.3L;165
TOYOTA;YARIS 5P 1.5L TS;165
LADA-VAZ;LADA 110 GPL;165
LADA-VAZ;LADA 111 GPL;165
LADA-VAZ;LADA 112 GPL;165
PEUGEOT;206CC 1.6I 16S;166
ROVER;ROVER 25 3P 1600 CD;166
ROVER;ROVER 25 3P 1600 CG;166
ROVER;ROVER 25 5P 1600 CD;166
ROVER;ROVER 25 5P 1600 CG;166
SEAT;CORDOBA VARIO 1.4L 16V (75ch);166
SEAT;CORDOBA VARIO 1400;166
SEAT;CORDOBA VARIO 1400;166
SEAT;CORDOBA VARIO 1400 16V (75ch);166
SUZUKI;WAGON R+ 1.3L  BVA;166
VOLKSWAGEN;GOLF 1.6L 16V;166
VOLKSWAGEN;GOLF 1.6L 16V;166
VOLKSWAGEN;GOLF 1.6L 16V;166
VOLKSWAGEN;GOLF 1.6L 16V;166
BMW;316ti COMPACT;167
FORD;FIESTA 3P 1.25L BVA;167
FORD;FIESTA 5P 1.25L BVA;167
FORD;FOCUS 4P 1.6L;167
FORD;FOCUS 5P 1.6L;167
FORD;FOCUS BREAK 1.6L;167
FORD;FOCUS BREAK 1.6L;167
FORD;FOCUS COUPE 1.6L;167
MEGA;MEGA CONCEPT;167
SUBARU;JUSTY 3P;167
SUBARU;JUSTY 5P;167
TOYOTA;YARIS VERSO 1.3L BVA;167
AUDI;A33P 1.6L (102ch);168
AUDI;A35P 1.6L (102ch);168
CITROEN;BERLINGO 1.4i;168
CITROEN;BERLINGO 1.4i;168
MITSUBISHI;CARISMA 1.8GDI;168
OPEL;ASTRA 3P 1.6L 16V CLIM;168
PEUGEOT;PARTNER 1.4i;168
ROVER;ROVER 45 4P 1400 CD;168
ROVER;ROVER 45 4P 1400 CG;168
ROVER;ROVER 45 5P 1400 CD;168
ROVER;ROVER 45 5P 1400 CG;168
SEAT;LEON 1600 (105ch);168
SEAT;TOLEDO 1.6L 16V;168
SKODA;OCTAVIA 1.6L (102ch);168
VOLKSWAGEN;BORA 1.6L 16V;168
VOLKSWAGEN;BORA BREAK 1.6L 16V;168
VOLKSWAGEN;GOLF 1.6L 16V;168
VOLKSWAGEN;GOLF 1.6L 16V;168
VOLKSWAGEN;GOLF BREAK 1.4L;168
VOLKSWAGEN;GOLF BREAK 1.6L 16V;168
VOLVO;S401.8L GPL;168
VOLVO;V401.8L GPL;168
HONDA;CIVIC 3P 1.6 ES BVA;169
MAZDA;DEMIO 1.3L;169
PEUGEOT;3073P 1.6i 16S;169
PEUGEOT;3075P 1.6i 16S;169
SUZUKI;SAMURAI 1.3L BACHE;169
SUZUKI;SAMURAI 1.3L HARD-TOP;169
SUZUKI;SAMURAI 1.3L TOLE;169
AUDI;A33P 1.6L (102ch);170
AUDI;A35P 1.6L (102ch);170
KIA;RIO4P;170
KIA;RIO4P;170
KIA;RIO5P;170
KIA;RIO5P;170
MERCEDES-BENZ;A 140;170
MERCEDES-BENZ;A 140 BOITE SPORT;170
MERCEDES-BENZ;A 140 FAMILY;170
MERCEDES-BENZ;A 140 FAMILY BOITE SPORT;170
PEUGEOT;306CABRIOLET 1.6i;170
RENAULT;MEGANE BREAK 1.4L 16v;170
RENAULT;MEGANE BREAK 1.6L 16v;170
RENAULT;MEGANE COUPE 1.6L 16v BVA PROACTIVE;170
SEAT;LEON 1600 (105ch);170
SEAT;TOLEDO 1.6L 16V;170
SKODA;FABIA 1.4L 16V (100ch);170
SKODA;FABIA COMBI 1.4L 16V (100ch) Elegance;170
SKODA;FABIA SEDAN 1.4L 16V (100ch) Elegance;170
SUZUKI;IGNIS 5P 1.3L BVA;170
TOYOTA;AVENSIS 4P 1.6L;170
TOYOTA;AVENSIS 5P 1.6L;170
VOLKSWAGEN;BORA 1.6L 16V;170
VOLKSWAGEN;BORA 1.6L 16V;170
VOLKSWAGEN;BORA BREAK 1.6L 16V;170
VOLKSWAGEN;BORA BREAK 1.6L 16V;170
VOLKSWAGEN;GOLF 1.6L 16V;170
VOLKSWAGEN;GOLF 1.6L 16V;170
VOLKSWAGEN;GOLF 1.6L 16V;170
VOLKSWAGEN;GOLF BREAK 1.6L 16V;170
VOLKSWAGEN;GOLF BREAK 1.6L 16V;170
VOLKSWAGEN;POLO GTI;170
FORD;FIESTA 3P 1.25L BVA;171
FORD;FIESTA 3P 1.25L BVA;171
FORD;FIESTA 3P 1.3L;171
FORD;FIESTA 3P 1.3L;171
FORD;FIESTA 3P 1.6L;171
FORD;FIESTA 3P 1.6L;171
FORD;FIESTA 5P 1.25L BVA;171
FORD;FIESTA 5P 1.25L BVA;171
FORD;FIESTA 5P 1.3L;171
FORD;FIESTA 5P 1.3L;171
FORD;FIESTA 5P 1.6L;171
FORD;PUMA 1.6L;171
MITSUBISHI;SPACE STAR 1.6;171
MITSUBISHI;SPACE STAR 1.6 COMFORT;171
OPEL;ASTRA 5P 1.6L 16V CLIM;171
PEUGEOT;2063P 1.6i 16S BVA;171
PEUGEOT;2065P 1.6i 16S BVA;171
SUZUKI;LIANA 1.6L;171
TOYOTA;COROLLA 5P 1.6L G6;171
HONDA;CIVIC 5P 1.6i ES BVA;172
MERCEDES-BENZ;A 160;172
MERCEDES-BENZ;A 160 BOITE SPORT;172
MERCEDES-BENZ;A 160 FAMILY;172
MERCEDES-BENZ;A 160 FAMILY BOITE SPORT;172
MG;MGZS 4P 1600 CD;172
MG;MGZS 4P 1600 CG;172
MG;MGZS 5P 1600 CD;172
MG;MGZS 5P 1600 CG;172
OPEL;ASTRA BREAK 1.6L 16V CLIM;172
ROVER;ROVER 45 4P 1600 CD;172
ROVER;ROVER 45 4P 1600 CG;172
ROVER;ROVER 45 5P 1600 CD;172
ROVER;ROVER 45 5P 1600 CG;172
FIAT;STILO 3P 1.6L (103ch);173
FIAT;STILO 3P 1.6L (103ch) SPORT;173
KIA;RIO4P 1500;173
KIA;RIO4P 1500;173
KIA;RIO5P 1500;173
KIA;RIO5P 1500;173
MG;MGZR 3P 1800 CD;173
MG;MGZR 3P 1800 CG;173
MG;MGZR 5P 1800 CD;173
MG;MGZR 5P 1800 CG;173
OPEL;ASTRA 3P 1.4L 16V;173
OPEL;ASTRA 5P 1.4L 16V;173
OPEL;CORSA 3P 1.4L 16V CLIM;173
OPEL;CORSA 5P 1.4L 16V CLIM;173
RENAULT;LAGUNA 1.6L 16v;173
RENAULT;SCENIC 1.4L 16v;173
RENAULT;SCENIC 1.6L 16v;173
SKODA;FABIA 1.4L (68ch);173
SKODA;FABIA 1.5L (60ch) Classic;173
SKODA;FABIA COMBI 1.4L (68ch) Classic;173
SKODA;FABIA SEDAN 1.4L (68ch) Classic;173
SKODA;OCTAVIA COMBI 1.6L (102ch);173
VOLKSWAGEN;BORA 1.6L 16V;173
VOLKSWAGEN;BORA BREAK 1.6L 16V;173
VOLKSWAGEN;GOLF 1.6L 16V;173
VOLKSWAGEN;GOLF BREAK 1.6L 16V;173
VOLKSWAGEN;LUPO 1.4L 16S BVA;173
VOLKSWAGEN;POLO GTI;173
MG;MGZS 4P 1800 CD;174
MG;MGZS 4P 1800 CG;174
MG;MGZS 5P 1800 CD;174
MG;MGZS 5P 1800 CG;174
MITSUBISHI;CARISMA 1.6;174
MITSUBISHI;SPACE STAR 1.8GDI;174
RENAULT;CLIO 3P 1.4L 16v BVA PROACTIVE;174
RENAULT;CLIO 5P 1.4L 16v BVA PROACTIVE;174
ROVER;ROVER 45 4P 1800 CD;174
ROVER;ROVER 45 4P 1800 CG;174
ROVER;ROVER 45 5P 1800 CD;174
ROVER;ROVER 45 5P 1800 CG;174
BMW;318Ci COUPE;175
BMW;318i BERLINE;175
BMW;318ti COMPACT;175
CITROEN;BERLINGO 1.6i 16V;175
CITROEN;BERLINGO 1.6i 16V;175
OPEL;ASTRA CABRIOLET 1.6L 16V;175
OPEL;ASTRA CABRIOLET 1.6L 16V CLIM;175
PEUGEOT;PARTNER 1.6i 16V;175
PEUGEOT;PARTNER USHUAIA 1.6i 16V;175
RENAULT;CLIO 3P 1.6L 16v BVA PROACTIVE;175
RENAULT;CLIO 5P 1.6L 16v BVA PROACTIVE;175
RENAULT;MEGANE BERLINE 1.6L 16v BVA PROACTIVE;175
RENAULT;MEGANE BERLINE 1.8L 16v;175
RENAULT;MEGANE BREAK 1.8L 16v;175
RENAULT;MEGANE CABRIOLET 1.6L 16v BVA PROACTIVE;175
RENAULT;MEGANE CLASSIC 1.6L 16v BVA PROACTIVE;175
VOLKSWAGEN;LUPO 1.4L 16S BVA;175
VOLKSWAGEN;LUPO GTI;175
VOLKSWAGEN;POLO 1.4L 16S BVA;175
FIAT;STILO 5P 1.6L (103ch);176
HYUNDAI;ELANTRA 4P 1.6L GLS Confort;176
HYUNDAI;ELANTRA 5P 1.6L GLS Confort;176
TOYOTA;AVENSIS 4P 1.8L;176
TOYOTA;AVENSIS 5P 1.8L;176
TOYOTA;COROLLA 3P 1.6L G6;176
CITROEN;C52.0HPi;177
CITROEN;SAXO 3P 1.4i BVA;177
CITROEN;SAXO 5P 1.4i BVA;177
FIAT;BRAVO 100;177
MG;MGF1600 CD;177
MG;MGF1600 CG;177
NISSAN;PRIMERA 4P 1.8L;177
PEUGEOT;4062.0HPi;177
RENAULT;KANGOO 1.6L 16v;177
RENAULT;MEGANE CABRIOLET 2.0idE;177
RENAULT;MEGANE COUPE 2.0idE;177
CITROEN;XSARA PICASSO 1.6i;178
FORD;PUMA 1.7L;178
OPEL;VECTRA 4P 1.6L 16V;178
OPEL;VECTRA 5P 1.6L 16V;178
RENAULT;LAGUNA ESTATE 1.6L 16v;178
RENAULT;SCENIC 1.6L 16v GPL;178
ROVER;ROVER 25 3P 1600 CD BVA;178
ROVER;ROVER 25 3P 1600 CG BVA;178
ROVER;ROVER 25 5P 1600 CD BVA;178
ROVER;ROVER 25 5P 1600 CG BVA;178
SEAT;AROSA 1400 BVA;178
SEAT;AROSA 1400 BVA;178
TOYOTA;MRCABRIOLET 1.8L ROADSTER;178
VOLKSWAGEN;LUPO GTI;178
VOLKSWAGEN;POLO 1.4L 16S BVA;178
BMW;318i TOURING;179
FIAT;BRAVA 100;179
FIAT;STILO 5P 1.6L (103ch) FUNZIONALE;179
FORD;FOCUS 4P 1.8L;179
FORD;FOCUS 4P 1.8L;179
HYUNDAI;COUPE 1.6L FX/FX Série Spéciale;179
MAZDA;3231.3L;179
MG;MGZR 3P (160ch) CD;179
MG;MGZR 3P (160ch) CG;179
MG;MGZR 5P (160ch) CD;179
MG;MGZR 5P (160ch) CG;179
ROVER;ROVER 25 3P VI CD;179
ROVER;ROVER 25 3P VI CG;179
ROVER;ROVER 25 5P VI CD;179
ROVER;ROVER 25 5P VI CG;179
SUZUKI;JIMNY CABRIOLET;179
CITROEN;XSARA 3P 1.6i BVA;180
CITROEN;XSARA 5P 1.6i BVA;180
CITROEN;XSARA BREAK 1.6i BVA;180
FORD;MONDEO 4P 1.8L;180
FORD;MONDEO 4P 1.8L;180
LADA-VAZ;LADA 110;180
LADA-VAZ;LADA 110 GPL;180
LADA-VAZ;LADA 111;180
LADA-VAZ;LADA 111 GPL;180
LADA-VAZ;LADA 112;180
LADA-VAZ;LADA 112 GPL;180
MERCEDES-BENZ;A 140 BVA;180
MERCEDES-BENZ;A 140 FAMILY BVA;180
MG;MGFTROPHY CD;180
MG;MGFTROPHY CG;180
NISSAN;ALMERA 3P 1.8L;180
NISSAN;ALMERA 3P 1.8L;180
NISSAN;ALMERA 5P 1.8L;180
NISSAN;ALMERA 5P 1.8L;180
OPEL;VECTRA BREAK 1.6L 16V;180
RENAULT;LAGUNA 1.8L 16v;180
RENAULT;SCENIC 1.8L 16v;180
SKODA;FABIA 1.4L 16V (75ch) BVA;180
VOLKSWAGEN;NEWBEETLE 1.6L;180
VOLKSWAGEN;POLO 1.4L 16S BVA;180
DAIHATSU;GRAN MOVE S ou X;181
FORD;FOCUS 4P 1.8L;181
FORD;FOCUS 5P 1.8L;181
FORD;FOCUS 5P 1.8L;181
FORD;FOCUS 5P 1.8L;181
FORD;FOCUS 5P 1.8L;181
FORD;FOCUS BREAK 1.8L;181
FORD;FOCUS BREAK 1.8L;181
FORD;FOCUS BREAK 1.8L;181
FORD;FOCUS BREAK 1.8L;181
FORD;FOCUS COUPE 1.8L;181
FORD;FOCUS COUPE 1.8L;181
FORD;FOCUS COUPE 1.8L;181
FORD;FOCUS COUPE 1.8L;181
MORGAN;373501800;181
MORGAN;373501800;181
MORGAN;373501800;181
MORGAN;37350TOURER;181
CITROEN;C51.8i;182
CITROEN;C51.8i;182
FORD;MONDEO 4P 1.8L;182
FORD;MONDEO 4P 1.8L;182
FORD;MONDEO 4P 1.8L;182
FORD;MONDEO 4P 1.8L;182
FORD;MONDEO 5P 1.8L;182
FORD;MONDEO 5P 1.8L;182
MG;MGF1800 CD;182
MG;MGF1800 CG;182
PEUGEOT;4061.8i 16V;182
SUZUKI;LIANA 1.6L 4WD;182
BMW;316ti COMPACT BVA;183
DAIHATSU;TERIOS II S ou X;183
FIAT;DOBLO 1.2L;183
FORD;FOCUS 5P 1.8L;183
FORD;FOCUS 5P 1.8L;183
FORD;FOCUS COUPE 1.8L;183
FORD;FOCUS COUPE 1.8L;183
HONDA;STREAM 1.7i ES;183
MAZDA;3231.6L;183
NISSAN;ALMERA 4P 1.8L;183
NISSAN;ALMERA 4P 1.8L;183
NISSAN;PRIMERA 5P 1.8L;183
NISSAN;PRIMERA BREAK 1.8L;183
PEUGEOT;206CC 1.6I 16S BVA;183
CITROEN;XSARA 3P 2.0i 16V;184
CITROEN;XSARA 5P 2.0i 16V;184
CITROEN;XSARA BREAK 2.0i 16V;184
FORD;FOCUS BREAK 1.8L;184
FORD;FOCUS BREAK 1.8L;184
FORD;FOCUS BREAK 1.8L;184
FORD;FOCUS BREAK 1.8L;184
MAZDA;6261.8L;184
MERCEDES-BENZ;A 160 BVA;184
MERCEDES-BENZ;A 160 FAMILY BVA;184
MERCEDES-BENZ;A 190 BOITE SPORT;184
MERCEDES-BENZ;A 190 BOITE SPORT;184
MERCEDES-BENZ;A 190 FAMILY BOITE SPORT;184
MERCEDES-BENZ;A 190 FAMILY BOITE SPORT;184
RENAULT;LAGUNA ESTATE 1.8L 16v;184
SUZUKI;JIMNY BERLINE;184
TOYOTA;AVENSIS 4P 2.0L;184
CITROEN;C5BREAK 2.0HPi;185
FORD;MONDEO 4P 1.8L;185
FORD;MONDEO 4P 1.8L;185
