MARQUES;MODELE;CO2
MERCEDES-BENZ;NOUVELLE E 220 CDI BERLINE BVA;177
MERCEDES-BENZ;NOUVELLE E 220 CDI BERLINE BVA;177
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;262
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;252
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;252
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;259
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;252
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;259
MERCEDES-BENZ;NOUVELLE E 240 BERLINE;262
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;257
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;257
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;242
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;250
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;242
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;250
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BOITE SEQUENTRONIC;252
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;247
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;247
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;238
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;250
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;238
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;250
MERCEDES-BENZ;NOUVELLE E 240 BERLINE BVA;262
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE;172
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE;172
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE;172
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BOITE SEQUENTRONIC;167
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BOITE SEQUENTRONIC;167
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BOITE SEQUENTRONIC;167
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BVA;180
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BVA;180
MERCEDES-BENZ;NOUVELLE E 270 CDI BERLINE BVA;180
MERCEDES-BENZ;NOUVELLE E 320 BERLINE BVA;238
MERCEDES-BENZ;NOUVELLE E 320 BERLINE BVA;238
MERCEDES-BENZ;NOUVELLE E 320 BERLINE BVA;238
MERCEDES-BENZ;NOUVELLE E 320 CDI BERLINE BVA;183
MERCEDES-BENZ;NOUVELLE E 320 CDI BERLINE BVA;183
MERCEDES-BENZ;NOUVELLE E 320 CDI BERLINE BVA;194
MERCEDES-BENZ;NOUVELLE E 500 BERLINE BVA;276
MERCEDES-BENZ;NOUVELLE E 500 BERLINE BVA;276
MERCEDES-BENZ;NOUVELLE E 55 AMG BERLINE;310
MERCEDES-BENZ;S 320 BERLINE BVA;266
MERCEDES-BENZ;S 320 CDI BERLINE BVA;212
MERCEDES-BENZ;S 320 CDI BERLINE BVA;204
MERCEDES-BENZ;S 320 CDI LIMOUSINE BVA;220
MERCEDES-BENZ;S 320 CDI LIMOUSINE BVA;204
MERCEDES-BENZ;S 320 LIMOUSINE BVA;266
MERCEDES-BENZ;S 350 BERLINE BVA;266
MERCEDES-BENZ;S 350 LIMOUSINE BVA;266
MERCEDES-BENZ;S 400 CDI BERLINE BVA;253
MERCEDES-BENZ;S 400 CDI BERLINE BVA;253
MERCEDES-BENZ;S 400 CDI LIMOUSINE BVA;253
MERCEDES-BENZ;S 400 CDI LIMOUSINE BVA;253
MERCEDES-BENZ;S 430 BERLINE BVA;281
MERCEDES-BENZ;S 430 BERLINE BVA;276
MERCEDES-BENZ;S 430 BERLINE BVA 4 MATIC;299
MERCEDES-BENZ;S 430 BERLINE BVA 4 MATIC;299
MERCEDES-BENZ;S 430 LIMOUSINE BVA;281
MERCEDES-BENZ;S 430 LIMOUSINE BVA;276
MERCEDES-BENZ;S 430 LIMOUSINE BVA 4 MATIC;299
MERCEDES-BENZ;S 430 LIMOUSINE BVA 4 MATIC;299
MERCEDES-BENZ;S 500 4 MATIC;311
MERCEDES-BENZ;S 500 BERLINE BVA;285
MERCEDES-BENZ;S 500 BERLINE BVA;285
MERCEDES-BENZ;S 500 BERLINE BVA 4 MATIC;311
MERCEDES-BENZ;S 500 BLINDEE;
MERCEDES-BENZ;S 500 BLINDEE;
MERCEDES-BENZ;S 500 LIMOUSINE 4 MATIC;311
MERCEDES-BENZ;S 500 LIMOUSINE 4 MATIC;311
MERCEDES-BENZ;S 500 LIMOUSINE BVA;285
MERCEDES-BENZ;S 500 LIMOUSINE BVA;285
MERCEDES-BENZ;S 500 PULMANN BVA;335
MERCEDES-BENZ;S 500 ZAS BERLINE BVA;285
MERCEDES-BENZ;S 500 ZAS BERLINE BVA;285
MERCEDES-BENZ;S 500 ZAS LIMOUSINE BVA;285
MERCEDES-BENZ;S 500 ZAS LIMOUSINE BVA;285
MERCEDES-BENZ;S 55 AMG BERLINE BVA;310
MERCEDES-BENZ;S 55 AMG BERLINE BVA;317
MERCEDES-BENZ;S 55 AMG LIMOUSINE BVA;310
MERCEDES-BENZ;S 55 AMG LIMOUSINE BVA;317
MERCEDES-BENZ;S 600 LIMOUSINE BVA;320
MERCEDES-BENZ;S 600 LIMOUSINE BVA;
MERCEDES-BENZ;S 600 LIMOUSINE BVA;
MERCEDES-BENZ;S 600 LIMOUSINE BVA;355
MERCEDES-BENZ;S 600 PULMANN BVA;349
MERCEDES-BENZ;SL 350 BOITE SEQUENTRONIC;276
MERCEDES-BENZ;SL 350 BVA;281
MERCEDES-BENZ;SL 500 BVA;304
MERCEDES-BENZ;SL 500 BVA;304
MERCEDES-BENZ;SL 55 AMG BVA;340
MERCEDES-BENZ;SL 55 AMG BVA;324
MERCEDES-BENZ;SL 55 AMG BVA;324
MERCEDES-BENZ;SLK 200 K;237
MERCEDES-BENZ;SLK 200 K;228
MERCEDES-BENZ;SLK 200 K BVA;230
MERCEDES-BENZ;SLK 200 K BVA;221
MERCEDES-BENZ;SLK 230 K;241
MERCEDES-BENZ;SLK 230 K;233
MERCEDES-BENZ;SLK 230 K BVA;235
MERCEDES-BENZ;SLK 230 K BVA;226
MERCEDES-BENZ;SLK 32 AMG BVA;268
MERCEDES-BENZ;SLK 32 AMG BVA;257
MERCEDES-BENZ;SLK 320;274
MERCEDES-BENZ;SLK 320;259
MERCEDES-BENZ;SLK 320 BVA;254
MERCEDES-BENZ;SLK 320 BVA;250
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.111;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.111 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.375;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.375 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.857;282
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT BAS / RPT=4.857 / BVA;255
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.111;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.111 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.375;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.375 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.857;282
MERCEDES-BENZ;SPRINTER 208CDI / EPT 30 / TOIT HAUT / RPT=4.857 / BVA;255
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.111;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.111 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.375;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.375 / BVA;255
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.857;282
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT BAS / RPT=4.857 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.111;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.111 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.375;253
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.375 / BVA;236
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.857;282
MERCEDES-BENZ;SPRINTER 208CDI / EPT 35 / TOIT HAUT / RPT=4.857 / BVA;255
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT BAS / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 211CDI / EPT 30 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT BAS / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 211CDI / EPT 35 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT BAS / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 213CDI / EPT 30 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT BAS / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=3.455;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=3.455 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 213CDI / EPT 35 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 214 / EPT 30 / TOIT BAS / RPT=4.375;301
MERCEDES-BENZ;SPRINTER 214 / EPT 30 / TOIT BAS / RPT=4.857;301
MERCEDES-BENZ;SPRINTER 214 / EPT 30 / TOIT HAUT / RPT=4.375;301
MERCEDES-BENZ;SPRINTER 214 / EPT 30 / TOIT HAUT / RPT=4.857;301
MERCEDES-BENZ;SPRINTER 214 / EPT 35 / TOIT BAS / RPT=4.375;301
MERCEDES-BENZ;SPRINTER 214 / EPT 35 / TOIT BAS / RPT=4.857;301
MERCEDES-BENZ;SPRINTER 214 / EPT 35 / TOIT HAUT / RPT=4.375;301
MERCEDES-BENZ;SPRINTER 214 / EPT 35 / TOIT HAUT / RPT=4.857;301
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=3.455;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=3.455 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=3.727;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=3.727 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=4.111;256
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT BAS / RPT=4.111 / BVA;242
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=3.455;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=3.455 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=3.727;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=3.727 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=4.111;256
MERCEDES-BENZ;SPRINTER 216CDI / EPT 30 / TOIT HAUT / RPT=4.111 / BVA;242
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=3.455;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=3.455 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=3.727;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=3.727 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=4.111;256
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT BAS / RPT=4.111 / BVA;242
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=3.455;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=3.455 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=3.727;228
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=3.727 / BVA;231
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=4.111;256
MERCEDES-BENZ;SPRINTER 216CDI / EPT 35 / TOIT HAUT / RPT=4.111 / BVA;242
MERCEDES-BENZ;SPRINTER 308CDI / EPT 40 / TOIT HAUT / RPT=4.375;253
MERCEDES-BENZ;SPRINTER 308CDI / EPT 40 / TOIT HAUT / RPT=4.375 / BVA;236
MERCEDES-BENZ;SPRINTER 308CDI / EPT 40 / TOIT HAUT / RPT=4.857;282
MERCEDES-BENZ;SPRINTER 308CDI / EPT 40 / TOIT HAUT / RPT=4.857 / BVA;255
MERCEDES-BENZ;SPRINTER 311CDI / EPT 40 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 311CDI / EPT 40 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 311CDI / EPT 40 / TOIT HAUT / RPT=4.375;236
MERCEDES-BENZ;SPRINTER 311CDI / EPT 40 / TOIT HAUT / RPT=4.375 / BVA;241
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=3.727;214
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=3.727 / BVA;222
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=4.111;236
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=4.111 / BVA;241
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=4.375;236
MERCEDES-BENZ;SPRINTER 313CDI / EPT 40 / TOIT HAUT / RPT=4.375 / BVA;241
MERCEDES-BENZ;SPRINTER 314 / EPT 40 / TOIT HAUT / RPT=4.857;301
MERCEDES-BENZ;SPRINTER 314 / EPT 40 / TOIT HAUT / RPT=5.286;328
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=3.727;228
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=3.727 / BVA;231
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=4.111;256
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=4.111 / BVA;242
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=4.375;256
MERCEDES-BENZ;SPRINTER 316CDI / EPT 40 / TOIT HAUT / RPT=4.375 / BVA;242
MERCEDES-BENZ;V 220 CDI;214
MERCEDES-BENZ;V 220 CDI BVA;224
MERCEDES-BENZ;V 230;284
MERCEDES-BENZ;V 230 BVA;301
MERCEDES-BENZ;VANEO;187
MERCEDES-BENZ;VANEO 1.6;192
MERCEDES-BENZ;VANEO 1.6 BVA;199
MERCEDES-BENZ;VANEO 1.9;197
MERCEDES-BENZ;VANEO 1.9 BVA;204
MERCEDES-BENZ;VANEO CDI;151
MERCEDES-BENZ;VANEO CDI 1.7;157
MERCEDES-BENZ;VANEO CDI 1.7 BVA;174
MERCEDES-BENZ;VITO 108 CDI COMBI ou VITO F 108 CDI;220
MERCEDES-BENZ;VITO 110 CDI COMBI BVA ou VITO F 110 CDI BVA;224
MERCEDES-BENZ;VITO 110 CDI COMBI ou VITO F 110 CDI;214
MERCEDES-BENZ;VITO 112 CDI COMBI BVA ou VITO F 112 CDI BVA;224
MERCEDES-BENZ;VITO 112 CDI COMBI ou VITO F 112 CDI;214
MERCEDES-BENZ;VITO 113 COMBI BVA ou VITO F 113 BVA;310
MERCEDES-BENZ;VITO 113 COMBI ou VITO F 113;280
MERCEDES-BENZ;VITO 114 COMBI BVA ou VITO F 114 BVA;301
MERCEDES-BENZ;VITO 114 COMBI ou VITO F 114;284
MG;MG TF 115;169
MG;MG TF 135;189
MG;MG TF 160;179
MG;MG TF StepSpeed;199
MG;MG ZR 3P 105;164
MG;MG ZR 3P 160;179
MG;MG ZR 3P DIESEL;150
MG;MG ZR 5P 105;164
MG;MG ZR 5P 160;179
MG;MG ZR 5P DIESEL;150
MG;MG ZS 120;174
MG;MG ZS 180;227
MG;MG ZS DIESEL;150
MG;MG ZT 135;163
MG;MG ZT 160;194
MG;MG ZT 180 SPORT BVA;259
MG;MG ZT 190;244
MG;MG ZTT 135;163
MG;MG ZTT 160;194
MG;MG ZTT 180 SPORT BVA;264
MG;MG ZTT 190;235
MINI;MINI ONE;158
MINI;MINI ONE;187
MINI;MINI ONE;187
MINI;MINI ONE;187
MINI;MINI ONE;187
MINI;MINI COOPER;163
MINI;MINI COOPER;187
MINI;MINI COOPER;187
MINI;MINI COOPER;187
MINI;MINI COOPER;187
MINI;MINI COOPER  S;202
MINI;MINI COOPER  S;202
MINI;MINI COOPER  S;202
MINI;MINI COOPER  S;202
MITSUBISHI;CARISMA 1.8GDI;168
MITSUBISHI;CARISMA 1.8GDI BVA;194
MITSUBISHI;CARISMA 1.9DI-D (102ch);146
MITSUBISHI;CARISMA 1.9DI-D (115ch);146
MITSUBISHI;MONTERO COURT 2.5TD;275
MITSUBISHI;MONTERO LONG 2.5TD;281
MITSUBISHI;PAJERO PININ COURT 1.8;225
MITSUBISHI;PAJERO PININ LONG 1.8;225
MITSUBISHI;PAJERO PININ COURT 2.0GDI;225
MITSUBISHI;PAJERO PININ COURT 2.0GDI BVA;235
MITSUBISHI;PAJERO PININ LONG 2.0GDI;227
MITSUBISHI;PAJERO PININ LONG 2.0GDI BVA;237
MITSUBISHI;PAJERO SPORT 3.0 V6 BVA;311
MITSUBISHI;PAJERO COURT 3.5GDI BVA EXCEED;339
MITSUBISHI;PAJERO LONG 3.5GDI BVA EXCEED;339
MITSUBISHI;PAJERO COURT 2.5TD;281
MITSUBISHI;PAJERO LONG 2.5TD;285
MITSUBISHI;PAJERO SPORT 2.5TD;278
MITSUBISHI;PAJERO COURT 3.2DI-D;251
MITSUBISHI;PAJERO LONG 3.2DI-D;251
MITSUBISHI;PAJERO COURT 3.2DI-D BVA;278
MITSUBISHI;PAJERO COURT 3.2DI-D BVA EXCEED;278
MITSUBISHI;PAJERO LONG 3.2DI-D BVA;278
MITSUBISHI;PAJERO LONG 3.2DI-D BVA EXCEED;278
MITSUBISHI;SPACE STAR 1.3;162
MITSUBISHI;SPACE STAR 1.6 COMFORT;171
MITSUBISHI;SPACE STAR 1.6 COMFORT BVA;192
MITSUBISHI;SPACE STAR 1.9DI-D (102ch);146
MITSUBISHI;SPACE STAR 1.9DI-D (115ch);146
MORGAN;4/4 1800;181
MORGAN;4/4 1800;196
MORGAN;4/4 1800;181
MORGAN;4/4 1800;196
MORGAN;4/4 1800;181
MORGAN;4/4 1800;196
MORGAN;4/4 TOURER;181
MORGAN;PLUS 4 2000;221
MORGAN;PLUS 4 2000;221
MORGAN;PLUS 4 2000;221
MORGAN;PLUS 8;290
MORGAN;PLUS 8;290
MORGAN;AERO 8;295
NISSAN;ALMERA 3P 1.5L;160
NISSAN;ALMERA 3P 1.5L;160
NISSAN;ALMERA 4P 1.5L;160
NISSAN;ALMERA 4P 1.5L;160
NISSAN;ALMERA 5P 1.5L;160
NISSAN;ALMERA 5P 1.5L;160
NISSAN;ALMERA 3P 1.8L;180
NISSAN;ALMERA 3P 1.8L;180
NISSAN;ALMERA 3P 1.8L BVA;187
NISSAN;ALMERA 3P 1.8L BVA;187
NISSAN;ALMERA 4P 1.8L;183
NISSAN;ALMERA 4P 1.8L;183
NISSAN;ALMERA 4P 1.8L BVA;187
NISSAN;ALMERA 4P 1.8L BVA;187
NISSAN;ALMERA 5P 1.8L;180
NISSAN;ALMERA 5P 1.8L;180
NISSAN;ALMERA 5P 1.8L BVA;187
NISSAN;ALMERA 5P 1.8L BVA;187
NISSAN;ALMERA TINO 1.8L;186
NISSAN;ALMERA TINO 1.8L;186
NISSAN;ALMERA TINO 2.0L CVT;223
NISSAN;ALMERA 3P 1.5dCi;127
NISSAN;ALMERA 3P 1.5dCi;127
NISSAN;ALMERA 4P 1.5dCi;127
NISSAN;ALMERA 4P 1.5dCi;127
NISSAN;ALMERA 5P 1.5dCi;127
NISSAN;ALMERA 5P 1.5dCi;127
NISSAN;ALMERA 3P 2.2VDi;157
NISSAN;ALMERA 3P 2.2VDi;157
NISSAN;ALMERA 4P 2.2VDi;157
NISSAN;ALMERA 4P 2.2VDi;157
NISSAN;ALMERA 5P 2.2VDi;157
NISSAN;ALMERA 5P 2.2VDi;157
NISSAN;ALMERA TINO 2.2VDi;168
NISSAN;INTERSTAR Combi L1H1 2.8t 8PL 1.9dCi (82ch);213
NISSAN;INTERSTAR Combi L1H1 2.8t 8PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Combi L1H1 2.8t 9PL 1.9dCi (82ch);213
NISSAN;INTERSTAR Combi L1H1 2.8t 9PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Combi L2H2 2.8t 8PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Combi L2H2 2.8t 9PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Combi L2H2 3.5t 8PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Combi L2H2 3.5t 9PL 2.2dCi (90ch);231
NISSAN;INTERSTAR Minibus L1H1 8PL 2.2dCi (90ch);240
NISSAN;INTERSTAR Minibus L1H1 9PL 2.2dCi (90ch);240
NISSAN;INTERSTAR Combi L1H1 2.8t 8PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Combi L1H1 2.8t 9PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Combi L2H2 2.8t 8PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Combi L2H2 2.8t 9PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Combi L2H2 3.5t 8PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Combi L2H2 3.5t 9PL 2.5dCi (130ch);237
NISSAN;INTERSTAR Minibus L1H1 8PL 2.5dCi (130ch);246
NISSAN;INTERSTAR Minibus L1H1 9PL 2.5dCi (130ch);246
NISSAN;MAXIMA 2.0L;220
NISSAN;MAXIMA 2.0L BVA;232
NISSAN;MAXIMA 3.0L;228
NISSAN;MAXIMA 3.0L BVA;252
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L;142
NISSAN;MICRA 3P 1.0L;149
NISSAN;MICRA 3P 1.0L N-CVT;145
NISSAN;MICRA 3P 1.0L N-CVT;149
NISSAN;MICRA 3P 1.0L N-CVT;145
NISSAN;MICRA 3P 1.0L N-CVT;149
